1;Норма сети 220 ;
2;Авария сети 220 ;
47;Норма ДПЛС ;
149;Тревога взлома корпуса ;
152;Норма корпуса ;
189;Потеря связи по ветви ДПЛС1 ;
190;Потеря связи по ветви ДПЛС2 ;
191;Норма связи по ветви ДПЛС1 ;
198;Неисправность источника питания ;
199;Норма источника питания ;
200;Норма батареи ;
201;Норма связи по ветви ДПЛС2 ;
202;Неисправность батареи ;
215;КЗ ДПЛС ;
222;Авария ДПЛС ;
250;Нет контакта ;
251;Норма контакта ;
0;Неопределенное ;
25;Доступ закрыт ;
30;Доступ восстановлен ;
219;Доступ открыт ;
250;Нет контакта ;
251;Норма контакта ;
0;Неопределенное ;
15;Дверь открыта ;
25;Доступ закрыт ;
26;Доступ отклонен ;
27;Дверь взломана ;
28;Доступ предоставлен ;
29;Запрет доступа ;
30;Доступ восстановлен ;
31;Дверь закрыта ;
32;Проход ;
33;Дверь заблокирована ;
219;Свободный доступ открыт ;
250;Нет контакта ;
251;Норма контакта ;
256;Дверь в норме ;
0;Неопределенное ;
39;Оборудование в норме ;
41;Неисправность оборудования ;
42;Нестандартное оборудование ;
47;Норма ДПЛС ;
121;Обрыв цепи ;
122;Короткое замыкание цепи ;
123;Норма цепи ;
126;Отключение выхода ;
127;Подключение выхода ;
149;Тревога взлома корпуса ;
152;Норма корпуса ;
153;ИУ в рабочем состоянии ;
154;ИУ в исходном состоянии ;
155;Отказ ИУ ;
156;Ошибка ИУ ;
165;Ошибка параметров входа ;
187;Вход отключен ;
188;Вход подключен ;
189;Потеря связи по ветви ДПЛС1 ;
190;Потеря связи по ветви ДПЛС2 ;
191;Норма связи по ветви ДПЛС1 ;
198;Неисправность источника питания ;
199;Норма источника питания ;
201;Норма связи по ветви ДПЛС2 ;
215;КЗ ДПЛС ;
222;Авария ДПЛС ;
224;Некорректный ответ устройства в ДПЛС ;
225;Неустойчивый ответ устройства в ДПЛС ;
250;Нет контакта ;
251;Норма контакта ;
401;РЕЛЕ включено ;
402;РЕЛЕ выключено ;
403;РЕЛЕ МИГАЕТ 3 ;
404;РЕЛЕ МИГАЕТ 4 ;
405;РЕЛЕ МИГАЕТ 5 ;
406;РЕЛЕ МИГАЕТ 6 ;
407;РЕЛЕ МИГАЕТ 7 ;
408;РЕЛЕ МИГАЕТ 8 ;
409;РЕЛЕ МИГАЕТ 9 ;
410;РЕЛЕ МИГАЕТ 10 ;
411;РЕЛЕ МИГАЕТ 11 ;
412;РЕЛЕ МИГАЕТ 12 ;
413;РЕЛЕ МИГАЕТ 13 ;
414;РЕЛЕ МИГАЕТ 14 ;
415;РЕЛЕ МИГАЕТ 15 ;
416;РЕЛЕ МИГАЕТ 16 ;
417;РЕЛЕ МИГАЕТ 17 ;
418;РЕЛЕ МИГАЕТ 18 ;
419;РЕЛЕ МИГАЕТ 19 ;
420;РЕЛЕ МИГАЕТ 20 ;
421;РЕЛЕ МИГАЕТ 21 ;
422;РЕЛЕ МИГАЕТ 22 ;
423;РЕЛЕ МИГАЕТ 23 ;
424;РЕЛЕ МИГАЕТ 24 ;
425;РЕЛЕ МИГАЕТ 25 ;
426;РЕЛЕ МИГАЕТ 26 ;
427;РЕЛЕ МИГАЕТ 27 ;
428;РЕЛЕ МИГАЕТ 28 ;
429;РЕЛЕ МИГАЕТ 29 ;
430;РЕЛЕ МИГАЕТ 30 ;
431;РЕЛЕ МИГАЕТ 31 ;
432;РЕЛЕ МИГАЕТ 32 ;
433;РЕЛЕ МИГАЕТ 33 ;
434;РЕЛЕ МИГАЕТ 34 ;
435;РЕЛЕ МИГАЕТ 35 ;
436;РЕЛЕ МИГАЕТ 36 ;
437;РЕЛЕ МИГАЕТ 37 ;
438;РЕЛЕ МИГАЕТ 38 ;
439;РЕЛЕ МИГАЕТ 39 ;
440;РЕЛЕ МИГАЕТ 40 ;
441;РЕЛЕ МИГАЕТ 41 ;
442;РЕЛЕ МИГАЕТ 42 ;
443;РЕЛЕ МИГАЕТ 43 ;
444;РЕЛЕ МИГАЕТ 44 ;
445;РЕЛЕ МИГАЕТ 45 ;
446;РЕЛЕ МИГАЕТ 46 ;
447;РЕЛЕ МИГАЕТ 47 ;
448;РЕЛЕ МИГАЕТ 48 ;
449;РЕЛЕ МИГАЕТ 49 ;
450;РЕЛЕ МИГАЕТ 50 ;
451;РЕЛЕ МИГАЕТ 51 ;
452;РЕЛЕ МИГАЕТ 52 ;
453;РЕЛЕ МИГАЕТ 53 ;
454;РЕЛЕ МИГАЕТ 54 ;
455;РЕЛЕ МИГАЕТ 55 ;
456;РЕЛЕ МИГАЕТ 56 ;
457;РЕЛЕ МИГАЕТ 57 ;
458;РЕЛЕ МИГАЕТ 58 ;
459;РЕЛЕ МИГАЕТ 59 ;
460;РЕЛЕ МИГАЕТ 60 ;
461;РЕЛЕ МИГАЕТ 61 ;
462;РЕЛЕ МИГАЕТ 62 ;
463;РЕЛЕ МИГАЕТ 63 ;
464;РЕЛЕ МИГАЕТ 64 ;
0;Неопределенное ;
1;Норма сети 220 ;
2;Авария сети ;
3;Тревога проникновения ;
4;Помеха ;
6;Норма помехи ;
17;Неудачное взятие ;
23;Задержка взятия ;
24;Взят ;
35;Норма технологического  ;
36;Нарушение технологического входа ;
37;Пожар ;
38;Нарушение 2 технологического ;
39;Пожарное оборудование в норме ;
40;Пожар 2 ;
41;Неисправность пожарного оборудования ;
44;Внимание! Опасность пожара ;
45;Обрыв входа ;
47;Норма ДПЛС ;
58;Тихая тревога ;
71;Понижение уровня ;
72;Уровень в норме ;
74;Повышение уровня ;
75;Аварийное повышение уровня ;
76;Повышение температуры ;
77;Аварийное понижение уровня ;
78;Температура в норме ;
82;Неисправность термометра ;
109;Снят ;
110;Сброс тревоги ;
117;Норма снятого входа ;
118;Тревога входной зоны ;
119;Нарушение снятого входа ;
130;Включение насоса ;
131;Выключение насоса ;
139;Неудачный пуск ПТ ;
141;Задержка автоматического пуска ;
142;Автоматика выключена ;
143;Сброс ПУСКА АСПТ ;
144;Тушение ;
145;Аварийный пуск ;
146;Пуск АСПТ ;
147;Блокировка пуска ;
148;Автоматика включена ;
149;Тревога взлома корпуса ;
150;Пуск РО ;
151;Сброс пуска РО ;
152;Норма корпуса ;
158;Норма внутренней зоны ;
159;Задержка пуска РО ;
165;Ошибка параметров входа ;
187;Вход отключен ;
188;Вход подключен ;
189;Потеря связи по ветви ДПЛС1 ;
190;Потеря связи по ветви ДПЛС2 ;
191;Норма связи по ветви ДПЛС1 ;
192;Отключение выходного напряжения источника питания ;
193;Подключение выходного напряжения источника питания ;
194;Перегрузка источника питания ;
195;Перегрузка источника питания устранена ;
196;Неисправность ЗУ ;
197;Норма ЗУ ;
198;Неисправность источника питания ;
199;Норма источника питания ;
200;Норма батареи ;
201;Норма связи по ветви ДПЛС2 ;
202;Неисправность батареи ;
205;Ошибка теста АКБ ;
206;Понижение температуры ;
211;Разряд батареи ;
212;Разряд резервной батареи ;
213;Норма резервной батареи ;
214;Короткое замыкание ;
215;Короткое замыкание ДПЛС ;
222;Авария ДПЛС ;
224;Некорректный ответ устройства в ДПЛС ;
225;Неустойчивый ответ устройства в ДПЛС ;
243;Идет взятие ;
244;Идет снятие ;
250;Нет контакта ;
251;Норма контакта ;
256;Выполняется команда ;
0;Неопределенное/Нет зон в разделе ;
1;Норма сети 220 ;
2;Авария сети ;
3;Тревога проникновения ;
4;Помеха ;
6;Норма помехи ;
15;Дверь открыта ;
17;Неудачное взятие ;
23;Задержка взятия ;
24;Взят ;
25;Доступ закрыт ;
27;Дверь взломана ;
30;Доступ восстановлен ;
31;Дверь закрыта ;
33;Дверь заблокирована ;
35;Норма технологического ;
36;Нарушение технологического ;
37;Пожар ;
38;Нарушение 2 технологического ;
39;Пожарное оборудование в норме ;
40;Пожар 2 ;
41;Неисправность оборудования ;
44;Внимание! Опасность пожара ;
45;Обрыв входа ;
47;Норма ДПЛС ;
58;Тихая тревога ;
71;Понижение уровня ;
72;Уровень в норме ;
74;Повышение уровня ;
75;Аварийное повышение уровня ;
76;Повышение температуры ;
77;Аварийное понижение уровня ;
78;Температура в норме ;
82;Неисправность термометра ;
109;Снят ;
110;Сброс тревоги ;
117;Норма снятого входа ;
118;Тревога входной зоны ;
119;Нарушение снятого входа ;
121;Обрыв цепи нагрузки выхода ;
122;Короткое замыкание нагрузки выхода ;
123;Норма цепи нагрузки ;
126;Отключение выхода ;
127;Подключение выхода ;
130;Включение насоса ;
131;Выключение насоса ;
139;Неудачный пуск ПТ ;
141;Задержка автоматического пуска ;
142;Автоматика выключена ;
143;Сброс ПУСКА АСПТ ;
144;Тушение ;
145;Аварийный пуск ;
146;Пуск АСПТ ;
147;Блокировка пуска ;
148;Автоматика включена ;
149;Тревога взлома корпуса ;
150;Пуск РО ;
151;Сброс пуска РО ;
152;Норма корпуса ;
153;ИУ в рабочем состоянии ;
154;ИУ в исходном состоянии ;
155;Отказ ИУ ;
156;Ошибка ИУ ;
158;Норма внутренней зоны ;
159;Задержка пуска РО ;
165;Ошибка параметров ;
187;Отключен ;
188;Подключен ;
189;Потеря связи по ветви ДПЛС1 ;
190;Потеря связи по ветви ДПЛС2 ;
191;Норма связи по ветви ДПЛС1 ;
192;Отключение выходного напряжения источника питания ;
193;Подключение выходного напряжения источника питания ;
194;Перегрузка источника питания ;
195;Перегрузка источника питания устранена ;
196;Неисправность ЗУ ;
197;Норма ЗУ ;
198;Неисправность источника питания ;
199;Норма источника питания ;
200;Норма батареи ;
201;Норма связи по ветви ДПЛС2 ;
202;Неисправность батареи ;
205;Ошибка теста АКБ ;
206;Понижение температуры ;
211;Разряд батареи ;
212;Разряд резервной батареи ;
213;Норма резервной батареи ;
214;Короткое замыкание ;
215;Короткое замыкание ДПЛС ;
219;Свободный доступ открыт ;
222;Авария ДПЛС ;
224;Некорректный ответ устройства в ДПЛС ;
225;Неустойчивый ответ устройства в ДПЛС ;
243;Идет взятие ;
244;Идет снятие ;
250;Нет контакта ;
251;Норма контакта ;
255;Два пожара ;
256;Выполняется команда ;
265;Два пожара ;
401;РЕЛЕ включено ;
402;РЕЛЕ выключено ;
403;РЕЛЕ МИГАЕТ 3 ;
404;РЕЛЕ МИГАЕТ 4 ;
405;РЕЛЕ МИГАЕТ 5 ;
406;РЕЛЕ МИГАЕТ 6 ;
407;РЕЛЕ МИГАЕТ 7 ;
408;РЕЛЕ МИГАЕТ 8 ;
409;РЕЛЕ МИГАЕТ 9 ;
410;РЕЛЕ МИГАЕТ 10 ;
411;РЕЛЕ МИГАЕТ 11 ;
412;РЕЛЕ МИГАЕТ 12 ;
413;РЕЛЕ МИГАЕТ 13 ;
414;РЕЛЕ МИГАЕТ 14 ;
415;РЕЛЕ МИГАЕТ 15 ;
416;РЕЛЕ МИГАЕТ 16 ;
417;РЕЛЕ МИГАЕТ 17 ;
418;РЕЛЕ МИГАЕТ 18 ;
419;РЕЛЕ МИГАЕТ 19 ;
420;РЕЛЕ МИГАЕТ 20 ;
421;РЕЛЕ МИГАЕТ 21 ;
422;РЕЛЕ МИГАЕТ 22 ;
423;РЕЛЕ МИГАЕТ 23 ;
424;РЕЛЕ МИГАЕТ 24 ;
425;РЕЛЕ МИГАЕТ 25 ;
426;РЕЛЕ МИГАЕТ 26 ;
427;РЕЛЕ МИГАЕТ 27 ;
428;РЕЛЕ МИГАЕТ 28 ;
429;РЕЛЕ МИГАЕТ 29 ;
430;РЕЛЕ МИГАЕТ 30 ;
431;РЕЛЕ МИГАЕТ 31 ;
432;РЕЛЕ МИГАЕТ 32 ;
433;РЕЛЕ МИГАЕТ 33 ;
434;РЕЛЕ МИГАЕТ 34 ;
435;РЕЛЕ МИГАЕТ 35 ;
436;РЕЛЕ МИГАЕТ 36 ;
437;РЕЛЕ МИГАЕТ 37 ;
438;РЕЛЕ МИГАЕТ 38 ;
439;РЕЛЕ МИГАЕТ 39 ;
440;РЕЛЕ МИГАЕТ 40 ;
441;РЕЛЕ МИГАЕТ 41 ;
442;РЕЛЕ МИГАЕТ 42 ;
443;РЕЛЕ МИГАЕТ 43 ;
444;РЕЛЕ МИГАЕТ 44 ;
445;РЕЛЕ МИГАЕТ 45 ;
446;РЕЛЕ МИГАЕТ 46 ;
447;РЕЛЕ МИГАЕТ 47 ;
448;РЕЛЕ МИГАЕТ 48 ;
449;РЕЛЕ МИГАЕТ 49 ;
450;РЕЛЕ МИГАЕТ 50 ;
451;РЕЛЕ МИГАЕТ 51 ;
452;РЕЛЕ МИГАЕТ 52 ;
453;РЕЛЕ МИГАЕТ 53 ;
454;РЕЛЕ МИГАЕТ 54 ;
455;РЕЛЕ МИГАЕТ 55 ;
456;РЕЛЕ МИГАЕТ 56 ;
457;РЕЛЕ МИГАЕТ 57 ;
458;РЕЛЕ МИГАЕТ 58 ;
459;РЕЛЕ МИГАЕТ 59 ;
460;РЕЛЕ МИГАЕТ 60 ;
461;РЕЛЕ МИГАЕТ 61 ;
462;РЕЛЕ МИГАЕТ 62 ;
463;РЕЛЕ МИГАЕТ 63 ;
464;РЕЛЕ МИГАЕТ 64 ;
1206;Запись начата ;
1207;Запись закончена ;
1215;Детектор движения включен ;
1216;Детектор движения выключен ;
1224;Срабатывание детектора движения ;